% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2 +1.089572668e+03 +1.089572668e+03 +1.041352668e+03 +1.041352668e+03 -1.3062e+00 +2.4468e+00 -1.6614e+00 -1.7109e+00 -1.0475e+00 -2.1254e+00 -2.0996e+00 +5.1894e-01 +4.8775e-01 +3.1856e+00 -4.6366e-01 -3.5061e+00 +2.7879e+00 +1.7542e+00 -4.4205e+00 +2.8410e+00 -4.6031e+00 -4.4189e+00 +4.8483e+00 +4.4288e+00
4 +9.472064513e+02 +9.472064513e+02 +8.989864513e+02 +8.989864513e+02 -7.8688e-01 -3.3825e+00 -4.9058e+00 -1.6032e+00 +2.5415e+00 +1.6449e+00 +2.0261e+00 +1.6937e-01 -3.8459e+00 -1.2375e+00 -5.2943e-04 -2.7689e+00 +2.6175e+00 +4.8119e+00 -4.1433e+00 -2.0368e+00 -4.9860e+00 +2.9477e+00 -4.1309e+00 +2.1288e+00
44 +5.768996269e+02 +5.768996269e+02 +5.286796269e+02 +5.286796269e+02 -2.2186e+00 -2.4688e+00 -2.6302e+00 +2.5241e+00 +9.0505e-01 +1.3477e+00 -1.3981e+00 +6.8715e-01 +8.8716e-01 +1.6158e+00 +1.1736e+00 -2.7777e+00 -2.3187e+00 +3.4411e+00 -3.6448e+00 -2.8423e-01 -4.5878e+00 +1.4453e+00 -3.3199e+00 +1.5645e+00
131 +3.975772637e+02 +3.975772637e+02 +3.493572637e+02 +3.493572637e+02 -2.1478e+00 -1.3457e+00 -2.1074e+00 +2.4942e+00 +9.0591e-01 +4.5706e-02 -1.0997e+00 +5.6347e-01 -1.7502e+00 +2.3373e+00 +2.8391e+00 -2.7614e+00 -2.3084e+00 +3.9798e+00 -1.9985e+00 -1.0407e+00 -2.3333e+00 +1.3852e+00 -1.4464e-01 +1.9827e-01
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.436757386e+03 +2.436757386e+03 +2.462227386e+03 +2.462227386e+03 -4.1474e+00 -1.2262e+00 +2.2944e+00 -3.0548e+00 -1.5970e+00 -4.5896e+00 -8.6580e-01 -3.7596e+00 +2.4004e+00 +4.8161e+00 +2.5829e+00 -3.6348e+00 +4.8895e+00 +1.4239e+00 -4.7403e+00 +4.4010e+00 +2.8649e+00 +2.3839e+00 +8.5048e-01 +3.3777e+00
9 +1.402630276e+03 +1.402630276e+03 +1.428100276e+03 +1.428100276e+03 +4.0768e+00 -2.4107e+00 +1.6354e+00 +2.4153e+00 +2.0313e+00 +2.3334e+00 +3.0459e+00 +3.7119e+00 -1.3776e-01 +7.1778e-01 +4.3656e-01 -4.7357e-01 -2.7223e-01 +2.3168e+00 +2.1574e+00 -1.4488e+00 +4.5952e+00 +4.9809e+00 +6.9350e-01 -1.1999e+00
41 +9.709194822e+02 +9.709194822e+02 +9.963894822e+02 +9.963894822e+02 -4.1327e+00 -1.8714e+00 +1.9221e+00 -1.3427e+00 -1.6403e+00 -2.2787e+00 +2.0183e+00 -2.0071e+00 +2.7336e+00 +3.6170e+00 +1.9837e+00 -3.9043e+00 +4.6979e+00 +2.9244e+00 -4.3476e-01 +3.8923e+00 +2.7037e-01 +3.9046e+00 +1.6188e+00 -2.2299e+00
99 +5.651364807e+02 +5.651364807e+02 +5.906064807e+02 +5.906064807e+02 -2.3916e-01 -1.6389e-01 -2.0336e+00 -1.5993e-01 -2.2781e+00 +5.9254e-01 +1.5281e+00 +1.3676e+00 +1.5696e+00 +1.0848e+00 -2.6348e+00 -3.4280e+00 +2.6075e+00 +3.7073e+00 -7.5772e-01 -5.6195e-01 -1.1010e+00 +2.5614e+00 +2.7733e+00 -3.2592e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.161517819e+03 +9.161517819e+03 +9.060707819e+03 +9.060707819e+03 +3.8710e+00 +2.6031e+00 -4.5409e+00 -1.6685e+00 +1.8596e+00 +4.5134e-01 +2.1673e-01 +2.5081e+00 +4.9192e+00 -4.4028e+00 -4.7539e+00 -3.1808e+00 +4.8518e+00 +4.4552e-01 -1.9015e+00 +8.2834e-01 -3.7129e+00 +2.4400e+00 -2.5605e-01 -3.7209e+00
2 +1.204672142e+03 +1.204672142e+03 +1.103862142e+03 +1.103862142e+03 -1.9077e+00 +4.2546e+00 -3.0789e+00 +4.9938e+00 -3.8996e+00 -8.5829e-01 -4.0137e+00 +5.6923e-01 -4.1385e-01 -4.7661e+00 -3.6681e+00 -2.7230e+00 -1.1645e+00 +6.5765e-01 +3.8016e+00 +2.9316e+00 -9.3233e-02 -3.0245e+00 -4.9960e+00 +1.6373e+00
33 +8.993398504e+02 +8.993398504e+02 +7.985298504e+02 +7.985298504e+02 -1.8071e+00 +8.5641e-01 +6.1746e-01 -2.8109e+00 -4.7080e+00 -3.7312e+00 +1.5621e-01 -4.0237e-01 -2.5223e+00 -3.2330e+00 -3.9128e-01 -4.6233e+00 -1.0013e+00 +1.9532e+00 -9.1052e-01 -1.7479e+00 +3.1645e+00 -1.1736e+00 -3.2495e+00 -1.3499e+00
58 +5.776439474e+02 +5.776439474e+02 +4.768339474e+02 +4.768339474e+02 -2.9513e+00 -4.2867e-01 +4.5584e-01 +4.7009e-01 +1.5542e-01 +1.7802e+00 -1.8448e-01 -1.0437e+00 +6.5934e-01 -3.5873e+00 +1.3623e-01 -4.1855e+00 -4.0994e+00 -1.2296e+00 -4.1563e+00 +4.5092e+00 +1.3368e+00 +1.6681e+00 +1.0833e-01 +2.1455e+00
87 +3.956712461e+02 +3.956712461e+02 +2.948612461e+02 +2.948612461e+02 -2.0149e+00 +1.8880e+00 +1.2579e+00 +1.5528e+00 +8.3114e-01 +1.0397e+00 +3.1292e-01 -1.8930e+00 -9.4478e-01 -3.9371e+00 +1.0279e+00 -2.6761e+00 -2.2082e+00 -1.6993e+00 -1.8400e+00 +8.8128e-01 +3.2730e+00 +1.3164e+00 -1.1158e+00 +3.6828e+00
% function evaluation | noise-free fitness - Fopt (5.228500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.947475862e+03 +1.947475862e+03 +2.470325862e+03 +2.470325862e+03 -1.3948e+00 -3.8835e+00 +3.2308e+00 +3.7666e+00 +3.9971e-01 +2.5898e+00 +5.4820e-01 -2.1313e+00 -4.9445e+00 -1.7061e+00 +4.5046e+00 +4.2467e+00 +2.9105e-01 -1.3733e+00 +1.6823e+00 -2.4931e+00 +3.5098e+00 +1.7833e+00 +2.9352e+00 +3.4286e+00
3 +9.714492563e+02 +9.714492563e+02 +1.494299256e+03 +1.494299256e+03 +2.0764e+00 -4.1354e-01 +2.2481e-01 -2.5225e+00 -2.1523e+00 +3.2468e+00 +1.9242e+00 -1.6447e+00 -2.4115e-01 +1.4990e+00 -7.6684e-01 +5.2922e-01 -3.7477e+00 +8.4467e-01 -3.8140e+00 -3.2058e+00 +4.2517e+00 -3.4494e+00 -1.5409e-02 +3.8142e+00
78 +4.591098125e+02 +4.591098125e+02 +9.819598125e+02 +9.819598125e+02 +3.5581e-01 +1.7639e+00 +8.9845e-01 +3.6036e+00 +4.5703e-01 -5.2697e-01 +3.4120e+00 -4.2970e-01 +3.6904e+00 +3.1280e+00 +2.5638e+00 -1.2020e+00 -2.0298e+00 -3.9753e+00 -3.2766e+00 -3.6037e+00 -2.7393e+00 +1.3053e-01 +1.7274e+00 +2.3165e+00
202 +3.946933511e+02 +3.946933511e+02 +9.175433511e+02 +9.175433511e+02 +3.4036e-01 +1.6373e+00 +8.2924e-01 +3.7809e+00 +4.0515e-01 -1.5963e-01 +2.7320e+00 -2.1873e-02 +2.7372e+00 +8.9113e-01 +2.5719e+00 -1.1350e+00 -1.3898e+00 -3.2852e+00 -3.0765e+00 -2.4423e+00 -1.8729e+00 +4.7214e-02 +3.0953e-01 +1.1064e+00
% function evaluation | noise-free fitness - Fopt (5.242000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.182734003e+03 +3.182734003e+03 +3.235154003e+03 +3.235154003e+03 +1.0459e+00 -6.3104e-01 -3.6650e+00 -8.9909e-01 +2.4102e+00 -1.1220e+00 +8.0595e-01 +3.6555e+00 -4.7628e-01 -1.2450e+00 +7.3224e-01 +1.8739e-01 +3.9872e+00 +4.0295e+00 -2.3997e+00 -3.3058e+00 +2.6171e+00 -1.5017e+00 +8.4554e-01 -1.2507e+00
2 +2.054194896e+03 +2.054194896e+03 +2.106614896e+03 +2.106614896e+03 -3.1708e-01 -1.1252e+00 -3.6861e+00 +1.8901e+00 -4.5137e+00 -2.5362e+00 -1.9310e+00 -4.4302e+00 +1.4966e+00 -7.4364e-02 -4.8367e+00 -4.4984e+00 -4.8725e+00 +3.2501e+00 +7.6447e-01 -2.6734e+00 +2.0444e+00 -4.6067e+00 -4.1072e+00 -5.9905e-01
5 +1.164399748e+03 +1.164399748e+03 +1.216819748e+03 +1.216819748e+03 +2.6035e+00 +1.3125e+00 -3.8162e+00 +2.9046e+00 -5.7583e-02 -4.9288e+00 -3.1246e+00 -2.2372e+00 -3.2167e+00 +1.0178e+00 -2.4164e+00 -6.3742e-01 -1.5694e+00 -2.2418e+00 -3.2821e-01 -2.7413e+00 +3.1908e-02 +2.9680e+00 -3.6895e+00 -2.6388e+00
28 +8.893504364e+02 +8.893504364e+02 +9.417704364e+02 +9.417704364e+02 +7.1074e-01 -2.7431e+00 -1.9059e+00 -9.6706e-01 -1.4470e+00 +3.4216e+00 -4.3442e+00 -6.3038e-01 +1.0910e+00 +4.8387e+00 -4.6234e+00 -1.8901e+00 +1.9973e+00 -4.7170e+00 -2.0156e-01 -3.7975e+00 -2.1133e+00 -2.8678e+00 -3.5918e+00 +1.9351e+00
91 +6.270890541e+02 +6.270890541e+02 +6.795090541e+02 +6.795090541e+02 +2.9751e+00 +4.0164e-02 -1.8925e+00 +1.0352e+00 -1.2879e+00 +3.0436e+00 -3.8648e+00 -3.5901e+00 -2.2691e+00 +4.7649e+00 -4.5769e+00 -9.1975e-01 +4.6199e-01 -4.2704e-01 -4.4604e-01 -2.0340e+00 -1.5911e+00 -3.0108e+00 -2.7879e+00 -3.6263e-01
% function evaluation | noise-free fitness - Fopt (4.186000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.654865360e+03 +1.654865360e+03 +1.696725360e+03 +1.696725360e+03 -8.3377e-01 -3.6666e+00 +4.5403e+00 -1.3301e-01 -4.3593e+00 -4.8083e+00 -1.2782e+00 +2.7162e+00 -2.6195e+00 +2.8901e+00 -3.2783e+00 +8.3554e-01 +4.7062e+00 +7.1637e-01 +1.7500e+00 -4.6268e+00 +3.0015e-01 +2.2634e+00 +1.0532e+00 -4.9570e+00
2 +1.455621393e+03 +1.455621393e+03 +1.497481393e+03 +1.497481393e+03 +1.3464e+00 +1.7508e+00 +4.6528e+00 -1.7782e+00 -4.2831e+00 -1.8757e+00 -6.0726e-02 -2.2572e+00 -4.0265e+00 +1.1194e+00 -3.6045e+00 -2.3257e+00 -4.3561e+00 +3.6463e+00 -1.9897e+00 -3.1319e+00 +6.4362e-01 +1.2392e+00 -2.3549e+00 +1.5573e-01
39 +8.188221828e+02 +8.188221828e+02 +8.606821828e+02 +8.606821828e+02 +1.3822e+00 +2.1986e+00 +4.1982e+00 -1.4292e+00 +3.2723e-01 -3.4613e+00 -4.3438e+00 -1.7528e+00 -1.4959e-02 -3.4647e+00 -3.9635e+00 +9.9498e-01 -2.0483e-02 +1.3272e+00 +1.8468e+00 +3.6618e+00 -1.9033e+00 +2.3598e-01 +3.4411e+00 -2.3645e-01
81 +6.303293348e+02 +6.303293348e+02 +6.721893348e+02 +6.721893348e+02 +2.1668e-01 +1.3278e-01 +1.1340e+00 -6.5207e-01 -2.7113e+00 -1.5653e+00 -1.4533e+00 +3.6248e-01 -1.5017e+00 -1.9621e+00 -3.1069e+00 +1.1269e+00 +2.2754e-01 +1.1325e+00 +1.5717e+00 +2.4947e+00 -1.2736e+00 +1.2368e+00 +2.8229e+00 -3.2570e-01
898 +3.806558134e+02 +3.806558134e+02 +4.225158134e+02 +4.225158134e+02 +1.0602e-01 +9.9281e-01 -7.6579e-02 -6.3181e-01 -2.1299e+00 -1.7442e+00 -1.4735e+00 -1.6108e+00 +8.7226e-01 -1.7690e-02 -2.1670e+00 +3.3924e-01 +5.2649e-01 +7.4219e-01 -9.2187e-01 +2.5136e+00 -3.1696e-01 +2.5745e+00 +3.4309e+00 +5.1156e-01
% function evaluation | noise-free fitness - Fopt (-1.668100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.233945723e+02 +9.233945723e+02 +7.565845723e+02 +7.565845723e+02 +1.9642e+00 +1.4195e+00 -3.7246e+00 -4.6441e-01 -1.3804e+00 +1.3089e+00 +3.1597e+00 +9.1814e-01 -2.3391e+00 +1.1760e+00 +4.5838e+00 +4.5612e+00 +7.0581e-01 +4.1881e+00 -1.4458e+00 -1.2542e+00 -2.5091e-01 -3.6820e-01 -3.8480e+00 +3.3279e+00
82 +6.182174978e+02 +6.182174978e+02 +4.514074978e+02 +4.514074978e+02 +3.1255e+00 +1.0328e+00 -2.3908e+00 +1.6713e+00 +2.9212e+00 -2.5943e+00 -8.4567e-01 -2.5433e+00 -1.1979e+00 +1.0124e+00 -3.6026e+00 +2.1277e+00 +6.7026e-01 -1.7181e-01 -1.7086e+00 -6.9358e-01 +2.2824e+00 +2.2086e+00 -1.5409e+00 -3.6064e-01
276 +3.969940964e+02 +3.969940964e+02 +2.301840964e+02 +2.301840964e+02 +1.5928e+00 -1.5833e+00 -1.3662e+00 +1.3925e+00 +4.3112e+00 -2.5428e+00 -7.7741e-01 -1.3102e+00 -1.0767e+00 +8.8230e-01 -2.0915e+00 +2.1690e+00 +8.1135e-01 -9.3146e-02 -7.6402e-01 +1.4628e+00 +2.6945e+00 +2.5995e+00 -8.0841e-01 -1.6629e+00
% function evaluation | noise-free fitness - Fopt (7.461000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.905714773e+03 +1.905714773e+03 +1.980324773e+03 +1.980324773e+03 -3.2940e+00 -3.2352e+00 +2.7875e+00 +2.2265e+00 +4.7091e+00 -4.8837e+00 -1.4337e+00 -3.0799e+00 +4.6726e+00 +1.6731e-01 +2.1609e+00 -2.9883e+00 +3.7381e+00 +5.3820e-01 +2.7130e+00 +3.0276e+00 -3.9346e+00 -1.0401e+00 +4.5050e+00 -2.0021e+00
7 +1.388923837e+03 +1.388923837e+03 +1.463533837e+03 +1.463533837e+03 -3.8569e+00 +1.4346e+00 +1.9636e+00 -4.0822e-01 -3.4335e+00 +6.1969e-02 -4.4035e+00 -9.1391e-01 +2.9845e+00 -3.4282e+00 -2.3497e+00 -1.8390e+00 -3.7254e+00 +2.8767e+00 -3.0113e-01 -1.8634e+00 -2.5552e+00 +2.9800e+00 -2.0776e+00 +2.0398e+00
25 +7.879832045e+02 +7.879832045e+02 +8.625932045e+02 +8.625932045e+02 -3.8951e+00 -4.0017e+00 -9.8779e-01 +2.0226e+00 -1.8357e+00 +2.1076e+00 -1.1579e+00 +1.7656e+00 -1.7078e+00 +6.7255e-01 -2.3195e+00 -3.8762e+00 -1.3138e+00 +1.6816e+00 +1.7607e+00 -3.5334e+00 -6.5577e-01 -8.7276e-01 -2.8909e+00 +3.8150e+00
42 +6.232143559e+02 +6.232143559e+02 +6.978243559e+02 +6.978243559e+02 -4.1449e+00 -9.0510e-01 -1.1445e+00 +2.4773e+00 -2.1223e+00 -3.7397e-01 +7.0069e-01 +3.8737e+00 +2.9515e+00 +1.7452e+00 -3.8513e+00 -4.0963e+00 -1.0217e+00 -2.3625e+00 +1.8124e+00 -1.9098e+00 -1.3338e+00 -3.7456e-01 +9.4921e-01 +2.3604e+00
897 +3.980925497e+02 +3.980925497e+02 +4.727025497e+02 +4.727025497e+02 -2.5598e+00 -1.5930e+00 +2.5751e-01 +1.3657e+00 -1.6673e+00 +1.6456e+00 -1.0867e+00 +1.4456e+00 -1.8093e+00 +1.4256e+00 -4.5964e-01 -2.2581e+00 -1.5212e+00 +1.2874e+00 +1.6808e+00 -1.2727e+00 +9.0091e-01 -2.9438e+00 +1.0365e+00 +2.4007e-01
% function evaluation | noise-free fitness - Fopt (2.257000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.237513042e+03 +1.237513042e+03 +1.260083042e+03 +1.260083042e+03 +4.5097e-01 -3.4456e+00 +1.5158e+00 -4.1924e+00 -2.9995e+00 +1.5510e+00 -2.6336e+00 +5.8975e-01 +3.9767e+00 -3.9267e+00 -2.8992e+00 -2.3094e+00 +3.2552e+00 +2.2020e+00 -8.4457e-01 -4.0110e+00 +4.3468e+00 -4.2910e+00 +3.1838e+00 -3.0831e+00
20 +7.493874165e+02 +7.493874165e+02 +7.719574165e+02 +7.719574165e+02 +1.2203e+00 -1.4365e+00 +1.1431e+00 +2.1706e+00 -2.5167e+00 +2.8790e+00 -4.3276e+00 +2.4232e+00 +1.0379e+00 -2.5984e+00 +3.3612e+00 +4.4914e+00 +4.2132e+00 -1.6848e+00 +3.7939e+00 -2.8804e+00 +3.7634e+00 -3.4520e-01 -2.3791e+00 +1.2329e+00
70 +6.180917587e+02 +6.180917587e+02 +6.406617587e+02 +6.406617587e+02 -7.5059e-01 -2.2056e+00 -1.5190e-01 -4.4049e-01 -2.1667e+00 -6.2873e-01 -4.8000e+00 +1.5659e+00 +5.9606e-01 -6.6415e-01 +1.2041e+00 -7.0069e-01 +4.1445e+00 +1.3420e-01 +2.3423e+00 -3.2500e+00 +2.0516e+00 +2.9804e-01 -1.6022e+00 +1.8659e+00
7869 +3.979848263e+02 +3.979848263e+02 +4.205548263e+02 +4.205548263e+02 -6.1417e-02 -1.8747e+00 +3.3118e-01 +2.2579e-01 -2.4765e+00 -2.9907e-01 -4.2911e+00 +1.0091e+00 +9.9423e-01 -1.4062e+00 +1.7868e+00 +1.9358e+00 +3.1906e+00 -1.0521e+00 +1.9308e+00 -2.3595e+00 +2.8052e-01 -4.5888e-01 -1.2247e+00 +9.7580e-01
% function evaluation | noise-free fitness - Fopt (2.581600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.986647796e+03 +2.986647796e+03 +3.244807796e+03 +3.244807796e+03 +9.3104e-01 +4.9230e+00 +9.0605e-01 +2.7442e+00 +3.2815e+00 +1.4142e+00 -5.1336e-01 +1.4400e+00 +2.1623e+00 +2.8008e-01 +1.1965e+00 +4.0042e+00 -3.6872e+00 +4.8858e+00 -4.1338e+00 -4.4588e+00 +4.1987e+00 -4.1129e+00 +3.3093e+00 -3.3718e+00
3 +1.222186239e+03 +1.222186239e+03 +1.480346239e+03 +1.480346239e+03 -2.8290e+00 +4.2079e+00 +4.7825e+00 +3.1075e+00 -1.4792e+00 +6.7353e-01 -3.9319e+00 -3.6517e+00 +3.3689e+00 -2.4765e+00 +2.1547e+00 -4.3670e+00 +4.0185e+00 -4.4640e+00 -2.2325e+00 -1.4371e+00 +3.3033e-01 -3.0080e+00 +3.8835e-01 -4.2911e+00
44 +8.947536597e+02 +8.947536597e+02 +1.152913660e+03 +1.152913660e+03 +1.3332e+00 -1.6400e+00 +3.8472e+00 -2.9004e-01 +1.6694e+00 +1.8966e+00 -3.2719e+00 -2.4152e+00 +1.6182e-01 +2.7874e-01 +3.4610e+00 -2.2898e+00 +5.1097e-02 -3.9038e+00 +3.6693e-01 +2.3834e+00 +4.6890e-01 +9.8709e-01 +3.7921e+00 -2.7707e+00
86 +6.307742800e+02 +6.307742800e+02 +8.889342800e+02 +8.889342800e+02 -6.5877e-01 -4.2894e-01 -1.2032e-02 -3.2662e-01 -7.7166e-01 +1.2942e+00 -4.1728e-01 -3.3484e+00 -1.3973e-02 +1.0867e+00 +2.3108e+00 -1.0486e+00 -1.3215e-01 -2.6630e+00 -3.1170e+00 +1.1282e+00 +5.8509e-01 +1.7514e+00 +4.0984e+00 +6.8307e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.946830521e+03 +3.946830521e+03 +4.946830521e+03 +4.946830521e+03 +1.3785e-01 +4.6460e+00 -4.3738e+00 +4.1449e+00 +4.1174e+00 +3.9225e+00 -3.7769e+00 -4.8464e+00 -1.5702e-02 -4.1539e+00 +2.7128e+00 +2.1888e+00 +1.8647e+00 +1.2658e+00 +2.6491e+00 +2.6975e+00 -4.6780e-01 +3.8958e-01 -4.3928e+00 +4.3448e+00
4 +2.171840125e+03 +2.171840125e+03 +3.171840125e+03 +3.171840125e+03 -4.8360e+00 +4.9234e+00 +2.1472e+00 +4.0016e+00 +1.7951e+00 -2.9988e-01 +2.1102e+00 +3.4028e+00 -2.9697e+00 +1.7542e+00 -4.2614e+00 -2.9435e+00 +5.2595e-01 -2.2225e+00 +1.7419e+00 +2.2062e+00 -4.2220e+00 +2.2231e-01 -1.4382e+00 +1.3734e+00
6 +1.209170738e+03 +1.209170738e+03 +2.209170738e+03 +2.209170738e+03 -3.9404e+00 -4.5593e+00 -1.4523e-01 +1.5360e+00 -3.6204e+00 -1.4551e+00 +4.3985e+00 -7.1694e-01 +2.7224e+00 -2.1767e+00 +3.1083e+00 +1.1396e+00 -3.7043e+00 +1.9593e+00 +2.6409e+00 -1.6557e+00 -3.2299e+00 +1.9571e+00 -2.1679e+00 -3.4337e+00
49 +7.092331944e+02 +7.092331944e+02 +1.709233194e+03 +1.709233194e+03 -3.0113e+00 -5.7898e-01 -3.7659e-01 -1.3145e+00 -4.5746e-01 +2.9438e+00 +3.7968e+00 +1.3966e+00 -3.9203e-02 +3.1453e-01 -3.4248e-01 -3.4680e-01 +3.2390e+00 +1.0669e+00 -1.1631e+00 -1.3161e+00 -2.3862e+00 -4.1230e+00 -2.7396e+00 -1.8941e+00
73 +4.999948291e+02 +4.999948291e+02 +1.499994829e+03 +1.499994829e+03 -3.5250e-01 +1.7601e+00 -4.8821e+00 -9.1161e-01 +6.1789e-01 +4.4937e-01 +1.3716e+00 -2.1693e+00 +7.0461e-01 +3.0680e+00 +2.4387e-01 +1.9361e+00 -1.1826e+00 +3.0705e+00 -3.0672e+00 -3.4268e-01 +3.1979e+00 +2.9516e+00 -1.3180e+00 +9.1838e-01
